*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=led_grid
*Date=01:02:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
336;;;126.035;-99.5048;0;Bottom;Copper Fill329
337;220;1206 [SMD];52.9389;-23.3641;0;Bottom;R3 3kOhm
338;;;124.487;-119.435;0;Bottom;Via135
339;;5050;76.0281;-49.8037;0;Top;RGB SMD LED172
340;;;46.0248;-59.4236;0;Bottom;Copper Fill382
341;;;56.1848;-50.4828;0;Bottom;Copper Fill399
342;;;56.0832;-89.3956;0;Bottom;Copper Fill338
343;;;136.017;-69.355;0;Bottom;Copper Fill375
344;;;116.942;-133.769;0;Bottom;Copper Fill8
345;;;57.5496;-69.1706;0;Bottom;Via444
346;;;47.671;-50.5005;0;Bottom;Via522
347;;;96.0738;-98.117;0;Bottom;Via248
348;;;76.9112;-105.601;0;Bottom;Copper Fill64
349;;;96.0315;-58.1301;0;Bottom;Via399
350;;;56.06;-39.2534;0;Bottom;Via83
351;;;63.7286;-25.1463;0;Bottom;Copper Fill240
352;;;59.4889;-19.8641;0;Bottom;Via581
353;;;34.4895;-129.334;0;Bottom;Via191
354;;;126.086;-109.487;0;Bottom;Copper Fill313
355;;;26.0372;-58.3133;0;Bottom;Via480
356;;;56.0894;-98.2138;0;Bottom;Via274
357;;;116.154;-139.434;0;Bottom;Copper Fill268
358;;;175.209;-45.0218;0;Bottom;Copper Fill185
359;;;87.5498;-59.0024;0;Bottom;Via409
360;;;36.8808;-123.203;0;Bottom;Copper Fill34
361;;;45.2882;-123.686;0;Bottom;Copper Fill29
362;;;146.075;-109.258;0;Bottom;Copper Fill315
363;;;44.367;-69.2192;0;Bottom;Via464
364;;;38.7389;-12.6141;0;Bottom;Via543
365;;;176.987;-17.6787;0;Bottom;Copper Fill462
366;;;64.3915;-50.8397;0;Bottom;Via516
367;;;61.1632;-21.4379;0;Bottom;Copper Fill450
368;;;106.121;-129.324;0;Bottom;Copper Fill280
369;;;95.2246;-54.1658;0;Bottom;Copper Fill159
370;;;7.73886;-22.3641;0;Bottom;Via579
371;;;144.352;-40.2603;0;Bottom;Via28
372;;5050;76.1337;-118.819;0;Top;RGB SMD LED55
373;;;105.359;-113.881;0;Bottom;Copper Fill44
374;;;54.49;-99.6196;0;Bottom;Via275
375;;;44.4093;-109.373;0;Bottom;Via280
376;;;116.001;-68.0098;0;Bottom;Via381
377;;5050;176.02;-58.7905;0;Top;RGB SMD LED155
378;;;65.3034;-84.1124;0;Bottom;Copper Fill88
379;;;20.7264;-16.4214;0;Bottom;Copper Fill225
380;;5050;46.02;-58.7905;0;Top;RGB SMD LED113
381;;sot23-3;8.28886;-51.364;-90;Top;Q10
